1 2 6.67435 68.1864 0.236395 0.486204 7.28468
1 3 6.12201 61.6245 0.0241455 0.155388 2.53819
1 4 5.91811 59.0036 0.00239795 0.0489689 0.827441
1 5 6.00632 60.1441 0.000240683 0.015514 0.258294
2 2 1.25182 6.60686 0.050398 0.224495 17.9334
2 3 1.51862 7.9971 0.00569089 0.075438 4.96754
2 4 1.47703 7.92058 0.000573896 0.0239561 1.62191
2 5 1.46908 7.80247 5.64427e-05 0.00751284 0.511397
3 2 0.232103 0.167741 0.0011387 0.0337446 14.5386
3 3 0.244943 0.172419 0.000112422 0.0106029 4.32873
3 4 0.244654 0.17483 1.14974e-05 0.00339079 1.38595
3 5 0.244667 0.174755 1.14893e-06 0.00107188 0.438098
